LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
35003                           2                   16.65               0.12                0.12                
35005                           33                  304.94              0.11                0.11                
35006                           114                 125.89              0.91                0.91                
35007                           5                   56.35               0.089               0.089               
35009                           45                  231.03              0.19                0.19                
35011                           1                   8.25                0.12                0.12                
35013                           332                 1029.75             0.32                0.32                
35015                           18                  275.89              0.065               0.065               
35017                           17                  127.41              0.13                0.13                
35019                           19                  20.29               0.94                0.94                
35021                           1                   2.95                0.34                0.34                
35023                           2                   19.81               0.10                0.10                
35025                           18                  335.41              0.054               0.054               
35027                           3                   92.37               0.032               0.032               
35028                           6                   91.41               0.066               0.066               
35029                           8                   111.89              0.071               0.071               
35031                           2034                336.81              6.04                6.05                
35033                           0                   21.34               0                   0                   
35035                           23                  318.51              0.072               0.072               
35037                           5                   38.95               0.13                0.13                
35039                           34                  183.68              0.19                0.19                
35041                           27                  87.31               0.31                0.31                
35043                           542                 692.56              0.78                0.78                
35045                           1457                585.00              2.49                2.49                
35047                           10                  128.73              0.078               0.078               
35049                           130                 709.60              0.18                0.18                
35051                           1                   50.93               0.020               0.020               
35053                           49                  78.52               0.62                0.62                
35055                           24                  154.43              0.16                0.16                
35057                           20                  72.97               0.27                0.27                
35059                           3                   19.16               0.16                0.16                
35061                           71                  361.92              0.20                0.20                
36001                           1682                1441.80             1.17                1.17                
36003                           44                  217.52              0.20                0.20                
36005                           44682               6693.05             6.68                6.84                
36007                           436                 898.98              0.48                0.48                
36009                           70                  359.22              0.19                0.19                
36011                           68                  361.39              0.19                0.19                
36013                           60                  598.90              0.10                0.10                
36015                           134                 393.86              0.34                0.34                
36017                           118                 222.79              0.53                0.53                
36019                           98                  379.84              0.26                0.26                
36021                           350                 280.62              1.25                1.25                
36023                           36                  224.55              0.16                0.16                
36025                           81                  208.29              0.39                0.39                
36027                           3724                1388.52             2.68                2.69                
36029                           5131                4335.70             1.18                1.18                
36031                           35                  174.07              0.20                0.20                
36033                           18                  236.07              0.076               0.076               
36035                           184                 251.93              0.73                0.73                
36037                           184                 270.33              0.68                0.68                
36039                           215                 222.70              0.97                0.97                
36041                           5                   20.84               0.24                0.24                
36043                           93                  289.39              0.32                0.32                
36045                           71                  518.35              0.14                0.14                
36047                           54285               12081.14            4.49                4.62                
36049                           18                  124.10              0.15                0.15                
36051                           111                 296.91              0.37                0.37                
36053                           307                 334.80              0.92                0.92                
36055                           2466                3500.68             0.70                0.70                
36057                           75                  232.29              0.32                0.32                
36059                           39368               6403.84             6.15                6.28                
36061                           24318               7686.46             3.16                3.20                
36063                           860                 987.67              0.87                0.87                
36065                           802                 1079.19             0.74                0.74                
36067                           1785                2173.40             0.82                0.82                
36069                           170                 518.08              0.33                0.33                
36071                           10379               1816.68             5.71                5.74                
36073                           171                 190.44              0.90                0.90                
36075                           93                  552.75              0.17                0.17                
36077                           67                  280.77              0.24                0.24                
36079                           1384                464.01              2.98                2.98                
36081                           60716               10636.79            5.71                5.90                
36083                           464                 749.03              0.62                0.62                
36085                           13231               2247.10             5.89                5.93                
36087                           12831               1537.52             8.35                8.41                
36089                           195                 508.47              0.38                0.38                
36091                           450                 1084.81             0.41                0.41                
36093                           697                 732.91              0.95                0.95                
36095                           49                  146.30              0.33                0.33                
36097                           11                  84.04               0.13                0.13                
36099                           52                  160.53              0.32                0.32                
36101                           280                 450.13              0.62                0.62                
36103                           38411               6968.64             5.51                5.63                
36105                           1279                355.99              3.59                3.59                
36107                           114                 227.49              0.50                0.50                
36109                           149                 482.23              0.31                0.31                
36111                           1647                838.03              1.97                1.97                
36113                           235                 301.78              0.78                0.78                
36115                           221                 288.84              0.77                0.77                
36117                           103                 424.36              0.24                0.24                
36119                           32517               4566.02             7.12                7.25                
36121                           82                  188.11              0.44                0.44                
36123                           34                  117.57              0.29                0.29                
37001                           263                 799.98              0.33                0.33                
37003                           23                  176.96              0.13                0.13                
37005                           13                  52.56               0.25                0.25                
37007                           52                  115.37              0.45                0.45                
37009                           31                  128.38              0.24                0.24                
37011                           1                   82.86               0.012               0.012               
37013                           32                  221.78              0.14                0.14                
37015                           99                  89.42               1.11                1.11                
37017                           84                  154.43              0.54                0.54                
37019                           64                  674.02              0.095               0.095               
37021                           225                 1232.66             0.18                0.18                
37023                           221                 427.03              0.52                0.52                
37025                           401                 1021.52             0.39                0.39                
37027                           95                  387.83              0.24                0.24                
37029                           3                   51.29               0.058               0.058               
37031                           35                  327.87              0.11                0.11                
37033                           45                  106.68              0.42                0.42                
37035                           129                 752.98              0.17                0.17                
37037                           551                 351.45              1.57                1.57                
37039                           27                  135.03              0.20                0.20                
37041                           14                  65.80               0.21                0.21                
37043                           7                   53.00               0.13                0.13                
37045                           62                  462.25              0.13                0.13                
37047                           269                 261.96              1.03                1.03                
37049                           140                 482.03              0.29                0.29                
37051                           546                 1583.39             0.34                0.34                
37053                           11                  131.02              0.084               0.084               
37055                           18                  174.66              0.10                0.10                
37057                           321                 791.01              0.41                0.41                
37059                           56                  202.21              0.28                0.28                
37061                           521                 277.22              1.88                1.88                
37063                           1128                1517.22             0.74                0.74                
37065                           173                 242.92              0.71                0.71                
37067                           801                 1804.20             0.44                0.44                
37069                           134                 328.87              0.41                0.41                
37071                           220                 1059.63             0.21                0.21                
37073                           14                  54.57               0.26                0.26                
37075                           2                   39.84               0.050               0.050               
37077                           221                 285.25              0.77                0.77                
37079                           54                  99.43               0.54                0.54                
37081                           962                 2535.13             0.38                0.38                
37083                           137                 236.02              0.58                0.58                
37085                           251                 641.72              0.39                0.39                
37087                           33                  294.10              0.11                0.11                
37089                           300                 554.13              0.54                0.54                
37091                           60                  111.74              0.54                0.54                
37093                           179                 260.67              0.69                0.69                
37095                           1                   23.30               0.043               0.043               
37097                           209                 858.01              0.24                0.24                
37099                           25                  207.36              0.12                0.12                
37101                           283                 987.95              0.29                0.29                
37103                           22                  44.45               0.49                0.49                
37105                           345                 291.56              1.18                1.18                
37107                           173                 264.04              0.66                0.66                
37109                           55                  406.39              0.14                0.14                
37111                           36                  215.94              0.17                0.17                
37113                           5                   169.23              0.030               0.030               
37115                           2                   102.67              0.019               0.019               
37117                           43                  105.90              0.41                0.41                
37119                           2840                5240.18             0.54                0.54                
37121                           6                   70.62               0.085               0.085               
37123                           75                  128.24              0.58                0.58                
37125                           188                 476.09              0.39                0.39                
37127                           166                 445.03              0.37                0.37                
37129                           141                 1106.56             0.13                0.13                
37131                           131                 91.95               1.42                1.42                
37133                           80                  934.14              0.086               0.086               
37135                           304                 700.71              0.43                0.43                
37137                           9                   60.06               0.15                0.15                
37139                           93                  187.94              0.49                0.49                
37141                           59                  297.60              0.20                0.20                
37143                           23                  63.54               0.36                0.36                
37145                           34                  186.37              0.18                0.18                
37147                           229                 852.99              0.27                0.27                
37149                           35                  97.80               0.36                0.36                
37151                           504                 678.02              0.74                0.74                
37153                           129                 211.56              0.61                0.61                
37155                           640                 616.47              1.04                1.04                
37157                           54                  429.51              0.13                0.13                
37159                           570                 670.57              0.85                0.85                
37161                           158                 316.33              0.50                0.50                
37163                           316                 299.83              1.05                1.05                
37165                           59                  164.34              0.36                0.36                
37167                           33                  296.40              0.11                0.11                
37169                           42                  215.16              0.20                0.20                
37171                           109                 338.77              0.32                0.32                
37173                           8                   67.35               0.12                0.12                
37175                           11                  162.28              0.068               0.068               
37177                           4                   18.95               0.21                0.21                
37179                           366                 1131.99             0.32                0.32                
37181                           209                 210.18              0.99                0.99                
37183                           1320                5246.81             0.25                0.25                
37185                           38                  93.12               0.41                0.41                
37187                           26                  54.65               0.48                0.48                
37189                           13                  265.12              0.049               0.049               
37191                           906                 581.10              1.56                1.56                
37193                           460                 322.86              1.42                1.42                
37195                           266                 386.05              0.69                0.69                
37197                           126                 177.76              0.71                0.71                
37199                           11                  85.27               0.13                0.13                
38001                           0                   10.46               0                   0                   
38003                           4                   49.15               0.081               0.081               
38005                           2                   32.24               0.062               0.062               
38007                           0                   4.38                0                   0                   
38009                           1                   29.65               0.034               0.034               
38011                           1                   14.27               0.070               0.070               
38013                           5                   9.98                0.50                0.50                
38015                           120                 451.29              0.27                0.27                
38017                           1277                858.56              1.49                1.49                
38019                           0                   17.75               0                   0                   
38021                           0                   22.99               0                   0                   
38023                           1                   10.68               0.094               0.094               
38025                           13                  20.88               0.62                0.62                
38027                           2                   10.79               0.19                0.19                
38029                           1                   15.30               0.065               0.065               
38031                           1                   15.15               0.066               0.066               
38033                           0                   8.31                0                   0                   
38035                           319                 327.77              0.97                0.97                
38037                           2                   10.73               0.19                0.19                
38039                           0                   10.53               0                   0                   
38041                           0                   11.79               0                   0                   
38043                           0                   11.70               0                   0                   
38045                           0                   19.09               0                   0                   
38047                           0                   8.73                0                   0                   
38049                           2                   27.11               0.074               0.074               
38051                           1                   11.78               0.085               0.085               
38053                           16                  70.90               0.23                0.23                
38055                           7                   44.60               0.16                0.16                
38057                           5                   38.64               0.13                0.13                
38059                           64                  148.02              0.43                0.43                
38061                           43                  49.77               0.86                0.86                
38063                           2                   13.59               0.15                0.15                
38065                           1                   9.25                0.11                0.11                
38067                           6                   32.10               0.19                0.19                
38069                           3                   18.76               0.16                0.16                
38071                           9                   54.36               0.17                0.17                
38073                           7                   24.63               0.28                0.28                
38075                           1                   10.98               0.091               0.091               
38077                           14                  76.35               0.18                0.18                
38079                           5                   66.90               0.075               0.075               
38081                           3                   18.40               0.16                0.16                
38083                           0                   6.21                0                   0                   
38085                           3                   19.96               0.15                0.15                
38087                           3                   3.54                0.85                0.85                
38089                           61                  148.61              0.41                0.41                
38091                           1                   8.92                0.11                0.11                
38093                           17                  97.71               0.17                0.17                
38095                           0                   10.33               0                   0                   
38097                           20                  37.92               0.53                0.53                
38099                           11                  50.22               0.22                0.22                
38101                           29                  319.22              0.091               0.091               
38103                           2                   18.09               0.11                0.11                
38105                           23                  177.40              0.13                0.13                
39001                           9                   130.72              0.069               0.069               
39003                           178                 483.03              0.37                0.37                
39005                           21                  252.41              0.083               0.083               
39007                           251                 458.92              0.55                0.55                
39009                           14                  308.30              0.045               0.045               
39011                           57                  215.47              0.26                0.26                
39013                           352                 316.23              1.11                1.11                
39015                           24                  204.97              0.12                0.12                
39017                           671                 1808.16             0.37                0.37                
39019                           27                  127.02              0.21                0.21                
39021                           28                  183.51              0.15                0.15                
39023                           169                 632.79              0.27                0.27                
39025                           169                 974.21              0.17                0.17                
39027                           43                  198.06              0.22                0.22                
39029                           457                 480.82              0.95                0.95                
39031                           25                  172.73              0.14                0.14                
39033                           106                 195.83              0.54                0.54                
39035                           3512                5828.77             0.60                0.60                
39037                           134                 241.22              0.56                0.56                
39039                           31                  179.75              0.17                0.17                
39041                           278                 987.18              0.28                0.28                
39043                           125                 350.49              0.36                0.36                
39045                           220                 743.65              0.30                0.30                
39047                           37                  134.62              0.27                0.27                
39049                           4796                6214.25             0.77                0.77                
39051                           36                  198.81              0.18                0.18                
39053                           10                  141.10              0.071               0.071               
39055                           235                 441.96              0.53                0.53                
39057                           86                  797.28              0.11                0.11                
39059                           29                  183.47              0.16                0.16                
39061                           2167                3857.96             0.56                0.56                
39063                           50                  357.65              0.14                0.14                
39065                           32                  148.02              0.22                0.22                
39067                           10                  70.98               0.14                0.14                
39069                           12                  127.45              0.094               0.094               
39071                           18                  203.69              0.088               0.088               
39073                           63                  133.39              0.47                0.47                
39075                           16                  207.46              0.077               0.077               
39077                           50                  274.98              0.18                0.18                
39079                           12                  152.97              0.078               0.078               
39081                           64                  308.29              0.21                0.21                
39083                           23                  294.12              0.078               0.078               
39085                           235                 1086.16             0.22                0.22                
39087                           31                  280.63              0.11                0.11                
39089                           200                 834.68              0.24                0.24                
39091                           26                  215.54              0.12                0.12                
39093                           621                 1462.22             0.42                0.42                
39095                           2021                2021.53             1.00                1.00                
39097                           104                 211.10              0.49                0.49                
39099                           1252                1079.24             1.16                1.16                
39101                           2540                307.20              8.27                8.28                
39103                           243                 848.29              0.29                0.29                
39105                           3                   108.11              0.028               0.028               
39107                           162                 194.31              0.83                0.83                
39109                           337                 504.91              0.67                0.67                
39111                           60                  64.44               0.93                0.93                
39113                           539                 2509.23             0.21                0.21                
39115                           5                   68.47               0.073               0.073               
39117                           104                 166.73              0.62                0.62                
39119                           43                  406.88              0.11                0.11                
39121                           10                  68.07               0.15                0.15                
39123                           68                  191.25              0.36                0.36                
39125                           13                  88.12               0.15                0.15                
39127                           18                  170.53              0.11                0.11                
39129                           2040                275.88              7.39                7.40                
39131                           6                   131.07              0.046               0.046               
39133                           303                 766.74              0.40                0.40                
39135                           30                  192.94              0.16                0.16                
39137                           85                  159.80              0.53                0.53                
39139                           169                 571.77              0.30                0.30                
39141                           68                  361.82              0.19                0.19                
39143                           66                  276.17              0.24                0.24                
39145                           19                  355.43              0.053               0.053               
39147                           18                  260.41              0.069               0.069               
39149                           37                  229.31              0.16                0.16                
39151                           620                 1749.03             0.35                0.35                
39153                           1077                2553.24             0.42                0.42                
39155                           479                 934.31              0.51                0.51                
39157                           281                 434.12              0.65                0.65                
39159                           38                  278.39              0.14                0.14                
39161                           5                   133.44              0.037               0.037               
39163                           16                  61.75               0.26                0.26                
39165                           301                 1107.17             0.27                0.27                
39167                           116                 282.74              0.41                0.41                
39169                           211                 546.08              0.39                0.39                
39171                           49                  173.16              0.28                0.28                
39173                           257                 617.37              0.42                0.42                
39175                           35                  102.75              0.34                0.34                
40001                           80                  104.74              0.76                0.76                
40003                           1                   26.91               0.037               0.037               
40005                           2                   64.93               0.031               0.031               
40007                           24                  25.06               0.96                0.96                
40009                           6                   103.16              0.058               0.058               
4001                            1081                339.26              3.19                3.19                
40011                           5                   44.50               0.11                0.11                
40013                           19                  226.51              0.084               0.084               
40015                           126                 135.74              0.93                0.93                
40017                           120                 699.91              0.17                0.17                
40019                           15                  227.05              0.066               0.066               
40021                           30                  229.63              0.13                0.13                
40023                           12                  69.24               0.17                0.17                
40025                           1                   10.09               0.099               0.099               
40027                           472                 1340.37             0.35                0.35                
40029                           1                   25.93               0.039               0.039               
4003                            47                  594.27              0.079               0.079               
40031                           230                 569.86              0.40                0.40                
40033                           5                   26.74               0.19                0.19                
40035                           19                  66.74               0.28                0.28                
40037                           88                  337.54              0.26                0.26                
40039                           12                  136.88              0.088               0.088               
40041                           97                  202.98              0.48                0.48                
40043                           2                   23.08               0.087               0.087               
40045                           0                   18.21               0                   0                   
40047                           25                  288.15              0.087               0.087               
40049                           23                  130.78              0.18                0.18                
4005                            965                 677.12              1.43                1.43                
40051                           69                  263.50              0.26                0.26                
40053                           2                   20.45               0.098               0.098               
40055                           67                  26.96               2.49                2.49                
40057                           0                   12.52               0                   0                   
40059                           1                   17.41               0.057               0.057               
40061                           7                   59.59               0.12                0.12                
40063                           0                   62.67               0                   0                   
40065                           22                  115.77              0.19                0.19                
40067                           3                   28.33               0.11                0.11                
40069                           4                   52.31               0.076               0.076               
4007                            23                  254.93              0.090               0.090               
40071                           50                  205.47              0.24                0.24                
40073                           10                  74.40               0.13                0.13                
40075                           8                   41.10               0.19                0.19                
40077                           6                   47.54               0.13                0.13                
40079                           14                  235.27              0.060               0.059               
40081                           22                  164.60              0.13                0.13                
40083                           18                  226.58              0.079               0.079               
40085                           4                   48.39               0.083               0.083               
40087                           118                 191.01              0.62                0.62                
40089                           20                  154.95              0.13                0.13                
4009                            27                  183.29              0.15                0.15                
40091                           13                  92.48               0.14                0.14                
40093                           6                   36.00               0.17                0.17                
40095                           6                   79.90               0.075               0.075               
40097                           29                  193.97              0.15                0.15                
40099                           2                   66.42               0.030               0.030               
40101                           32                  320.90              0.100               0.100               
40103                           7                   52.53               0.13                0.13                
40105                           23                  47.55               0.48                0.48                
40107                           2                   56.60               0.035               0.035               
40109                           1093                3763.38             0.29                0.29                
4011                            3                   44.82               0.067               0.067               
40111                           19                  181.53              0.10                0.10                
40113                           95                  221.64              0.43                0.43                
40115                           39                  146.90              0.27                0.27                
