LOC_ID                          CLUSTER             P_VALUE             RECURR_INT          CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
26075                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       442                 342.86              1.29                1.29                19021200.00         42.248070           -84.422587          F 
18003                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       1098                820.44              1.34                1.34                45515956.00         41.091943           -85.068006          F 
39039                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       29                  82.38               0.35                0.35                4570440.00          41.323988           -84.490769          F 
18091                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       363                 237.69              1.53                1.53                13186560.00         41.543660           -86.740722          F 
18049                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       47                  43.20               1.09                1.09                2396880.00          41.046991           -86.262527          F 
18149                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       28                  49.74               0.56                0.56                2759400.00          41.278903           -86.646869          F 
39125                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       13                  40.39               0.32                0.32                2240640.00          41.116763           -84.580102          F 
26067                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       138                 139.94              0.99                0.99                7763640.00          42.945022           -85.074133          F 
18069                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       23                  78.99               0.29                0.29                4382400.00          40.829073           -85.488221          F 
18169                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       71                  67.05               1.06                1.06                3719520.00          40.847042           -85.793283          F 
26091                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       168                 212.95              0.79                0.79                11814120.00         41.894752           -84.066037          F 
39051                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       36                  91.12               0.40                0.40                5055120.00          41.602135           -84.125714          F 
